date,price,qtyitemID1,qtyitemID2,qtyitemID3,qtyitemID4,qtyitemID5,qtyitemID6,qtyitemID7,qtypackageID1,qtypackageID2,qtypackageID3
1-11-21,7.00,0,0,2,0,0,3,0,0,0,0
1-11-21,106.89,0,0,0,0,0,3,0,3,0,0
2-11-21,106.89,0,0,0,0,0,3,0,3,0,0
3-11-21,106.89,0,0,0,0,0,3,0,3,0,0
4-11-21,106.89,0,0,0,0,0,3,0,3,0,0
5-11-21,120.22,1,0,2,0,0,0,0,0,0,1
5-11-21,20.22,1,0,2,0,0,0,0,0,0,0
6-11-21,20.22,1,0,2,0,0,0,0,0,0,0
7-11-21,211.33,0,3,1,0,0,0,4,4,0,0
11-11-21,111.00,0,1,2,1,0,1,0,2,0,0
11-11-21,111.00,0,1,5,1,0,1,0,0,0,0
13-11-21,201.00,2,0,3,0,1,0,0,0,2,1
14-11-21,198.00,1,0,1,0,2,0,2,1,2,1
14-11-21,217.21,5,3,0,0,0,2,0,3,0,0
